slang_term,meaning,slang_sentence,normal_sentence,source
BC,because,I bailed early BC the vibe was off.,I left early because the energy felt weird.,grok
We Move,keep going,"Show got cancelled but we move, still gonna hang.",Show got cancelled but we're still going out anyway.,grok
Shadowban,algorithm hide,"Zero reach this week, pretty sure I got a shadowban.","Zero views this week, pretty sure the algorithm is hiding me.",grok
Not Gonna Lie,honestly,"Not gonna lie, that outfit is fire.","Honestly, that outfit looks amazing.",grok
UT,Unreal Tournament,Who's down for a couple rounds of UT tonight?,Who wants to play a few games of Unreal Tournament tonight?,grok
Chat,the group,"Chat, y'all seeing this wild clip right now?","Everyone, are you all seeing this crazy clip right now?",grok
LOLO,lots of love,"Can't wait to see you next week, LOLO.","Can't wait to see you next week, lots of love.",grok
Reaction Image,picture reply,I hit her with a reaction image and she instantly lost it laughing.,I sent her a picture reply and she cracked up right away.,grok
Homie,close friend,Me and my homie are grabbing tacos after work.,My friend and I are getting tacos after work.,grok
KMT,kiss my tush,Tell him if he wants free labor again he can KMT.,Tell him if he wants free help again he can kiss my ass.,grok
Dream State,half asleep,I was stuck in a dream state through the whole meeting.,I was half asleep for the entire meeting.,grok
Cakeday,birthday,It's my cakeday tomorrow so we're going out for real.,It's my birthday tomorrow so we're definitely going out.,grok
Smooth Sailing,no problems,After the first week it was all smooth sailing for us.,After the first week everything went fine for us.,grok
Bro Zone,friends only,She dropped me straight into the bro zone last night.,She made it clear last night that we're just friends.,grok
Lore Accurate,true to story,His cosplay is so lore accurate it blew everyone away.,His costume matches the original story so well it impressed everyone.,grok
Big Picture,overall view,Stop stressing the details and just look at the big picture.,Quit worrying about the small stuff and see the overall situation.,grok
SD,sweet dreams,"I'm heading to bed, SD y'all.","I'm going to sleep, sweet dreams everyone.",grok
Pet Peeve,small annoyance,Loud phone talkers on the bus are my biggest pet peeve.,People talking loud on their phones on the bus really bother me.,grok
Final Stretch,last push,"We're in the final stretch of finals week, almost free.","We're in the last part of finals week, almost done.",grok
TOS,terms of service,Nobody actually reads the TOS before they click accept.,Nobody really reads the terms of service before they hit accept.,grok
Calm Energy,peaceful vibe,She walks in with such calm energy and the room just settles.,She walks in with a peaceful vibe and everyone relaxes.,grok
PROGGY,computer program,This free proggy cleans up my desktop in like two clicks.,This free program tidies my desktop in just a couple clicks.,grok
CWD,comment when done,Finish your part of the doc and CWD so we can move on.,Finish your section of the document and leave a note when you're done so we can continue.,grok
AAR,at any rate,"AAR, dinner is still happening at seven whether he's late or not.","Anyway, dinner is still at seven even if he shows up late.",grok
EMSG,email message,I just sent you an EMSG with the updated schedule.,I just emailed you the updated schedule.,grok
TL;DR,too long didn't read,TL;DR the whole trip was a mess but we still had fun.,Short version: the trip was chaotic but we still enjoyed it.,grok
AOM,legal adult age,You can't rent a car until you hit AOM in that state.,You can't rent a car until you're legally an adult in that state.,grok
AFAIAA,as far as I know,"AFAIAA the show starts at nine, but double-check the ticket.","As far as I know the show starts at nine, but check the ticket.",grok
Take Off,start fast,Once the ads dropped the sales really took off overnight.,Once the ads launched the sales started growing super fast.,grok
Hustler Mentality,hard work mindset,You need that hustler mentality if you want your side gig to pay.,You need a hardworking mindset if you want your side project to make money.,grok
BOYF,boyfriend,My BOYF is cooking dinner tonight so I'm free till eight.,My boyfriend is making dinner tonight so I'm free until eight.,grok
Left on Read,seen but ignored,I asked about the plans and she left me on read all day.,I asked about the plans and she saw the message but never answered.,grok
Laggy,slow or delayed,This game is so laggy I keep dying for no reason.,This game is so slow I keep dying for no reason.,grok
Trauma Dump,oversharing personal problems,She trauma dumped her whole childhood story on me at lunch.,She unloaded her entire childhood story on me at lunch.,grok
4COL,for crying out loud,4COL just answer the question already.,For crying out loud just answer the question already.,grok
IMOH,in my humble opinion,IMOH that playlist is way better than theirs.,In my humble opinion that playlist is way better than theirs.,grok
Shoutout,public mention or thanks,Huge shoutout to my sister for helping me move.,Big public thanks to my sister for helping me move.,grok
SNERT,rude entitled teen,That SNERT cut the line and then argued with the cashier.,That rude entitled kid cut the line and then argued with the cashier.,grok
Power Move,bold strong action,Leaving the group chat without a word was a power move.,Leaving the group chat without a word was a really bold move.,grok
LOL,laughing hard,He tripped over the cord LOL I couldn't breathe.,He tripped over the cord and I laughed so hard I couldn't breathe.,grok
LD,later dude,"I'm heading out, LD.","I'm heading out, later dude.",grok
Character Development,personal growth,After that failure he actually got some character development.,After that failure he actually grew a lot as a person.,grok
Emoji Dump,flood of emojis,I asked how she was and got a full emoji dump back.,I asked how she was and she just sent a whole bunch of emojis.,grok
BRNC,be right back bathroom,"BRNC, don't start the round without me.","Be right back, nature calls, don't start the round without me.",grok
Catch Feelings,start liking someone,I told myself not to catch feelings but here we are.,I told myself not to start liking him but here we are.,grok
WYGAM,when you get a minute,Call me WYGAM so we can figure out the plans.,Call me when you get a minute so we can figure out the plans.,grok
Respectfully,polite disagreement,"Respectfully, that plan is gonna flop hard.","With all due respect, that plan is going to fail hard.",grok
Cut Season,losing body fat,It's cut season so I'm skipping the pizza this week.,I'm focused on losing fat so I'm skipping the pizza this week.,grok
831,I love you,She just sent me 831 before hanging up.,She just told me she loves me before hanging up.,grok
C&G,chuckle and grin,That silly meme had me C&G at my desk.,That silly meme had me chuckling and grinning at my desk.,grok
send me,too cool to handle,"The way he plays that guitar, send me.",The way he plays that guitar is so cool I can't handle it.,grok
Overrated,praised too much,That restaurant is so overrated for how bland it was.,That restaurant gets way more praise than the bland food deserved.,grok
CX,correction,CX the party starts at nine not eight.,"Correction, the party starts at nine not eight.",grok
BFF,best friend forever,My BFF always knows how to cheer me up.,My best friend forever always knows how to cheer me up.,grok
P911,parents entering room,P911 switch to homework tab right now.,"Parents walking in, switch to the homework tab right now.",grok
GJ,good job,"You finished the whole project early, GJ!","You finished the whole project early, good job!",grok
NPC,mindless follower,He just agrees with every trend like a total NPC.,He just agrees with every trend without thinking for himself.,grok
TMYL,tell me where you are,TMYL and I'll swing by to grab you.,Tell me where you are and I'll come pick you up.,grok
MNSG,Spanish message,Just drop a quick MNSG if you need anything.,Just send a quick message in Spanish if you need anything.,grok
WTM,who's the man,WTM for scoring those tickets last minute?,Who's the man for scoring those tickets last minute?,grok
t's giving…,gives off vibes of,Her whole setup t's giving cozy bookstore energy.,Her whole setup really has that cozy bookstore vibe.,grok
